1,2,3,4,5,6,7,8,9,10
10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5
D. Njoku,J. Mixon,J. Williams,N. Chubb,D. Njoku,J. Downs,J. Downs,C. Sutton,R. Mostert,J. Ferguson
TE - CLE,RB - HOU,WR - DET,RB - CLE,TE - CLE,WR - IND,WR - IND,WR - DEN,RB - MIA,TE - DAL
11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6
L. Musgrave,T. Tagovailoa,B. Purdy,T. Lawrence,D. Goedert,T. Lawrence,D. Swift,D. Swift,T. Lockett,T. Lockett
TE - GB,QB - MIA,QB - SF,QB - JAX,TE - PHI,QB - JAX,RB - CHI,RB - CHI,WR - SEA,WR - SEA
12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5
T. Chandler,R. Shaheed,C. Hubbard,T. Lockett,Z. White,Z. White,T. Lockett,J. Goff,M. Williams,R. Shaheed
RB - MIN,WR - NO,RB - CAR,WR - SEA,RB - LV,RB - LV,WR - SEA,QB - DET,WR - NYJ,WR - NO
13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6
K. Miller,J. Dotson,K. Herbert,K. Miller,K. Miller,J. Dotson,M. Stafford,K. Miller,J. Jeudy,K. Cousins
RB - NO,WR - WAS,RB - CHI,RB - NO,RB - NO,WR - WAS,QB - LAR,RB - NO,WR - CLE,QB - ATL
1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
A. Brown,B. Robinson,B. Robinson,B. Hall,C. McCaffrey,G. Wilson,G. Wilson,B. Hall,A. St. Brown,B. Robinson
WR - PHI,RB - ATL,RB - ATL,RB - NYJ,RB - SF,WR - NYJ,WR - NYJ,RB - NYJ,WR - DET,RB - ATL
